dummy, algorithm, localsearch, alpha, beta, rho, ants, nnls, q0, dlb, rasrank, elitistants, instance
3, ras, 1, 2.09, 3.84, 0.48, 98, 34, 2, 0, 31, 1500, 1
1, acs, 0, 1.2, 8.81, 0.95, 94, 100, 0.4, __miss__, 200, 1500, 1
3, acs, 1, 2.43, 5.67, 0.34, 53, 19, 0.18, 0, 200, 1500, 1
8, ras, 2, 2.4, 1.91, 0.15, 42, 37, 2, 1, 14, 1500, 1
6, mmas, 0, 4.23, 8.55, 0.32, 8, 100, 2, __miss__, 200, 1500, 1
9, acs, 2, 1.83, 4.09, 0.58, 72, 12, 0.44, 0, 200, 1500, 1
9, mmas, 0, 3.03, 8.57, 0.14, 24, 100, 2, __miss__, 200, 1500, 1
1, as, 1, 2.85, 2.8, 0.34, 13, 7, 2, 1, 200, 1500, 1
1, eas, 2, 1.72, 6.32, 0.61, 30, 41, 2, 1, 200, 87, 1
1, as, 0, 1.66, 8.19, 0.48, 30, 100, 2, __miss__, 200, 1500, 1
6, eas, 2, 1.94, 0.77, 0.75, 94, 40, 2, 1, 200, 321, 1
5, eas, 1, 2.83, 7.84, 0.92, 90, 31, 2, 0, 200, 111, 1
9, ras, 0, 4.99, 5.1, 0.78, 97, 100, 2, __miss__, 49, 1500, 1
1, mmas, 1, 1.46, 6.67, 0.96, 77, 24, 2, 1, 200, 1500, 1
1, as, 1, 1.2, 2.13, 0.93, 59, 26, 2, 1, 200, 1500, 1
8, acs, 1, 1.83, 0.01, 0.32, 21, 42, 0.33, 1, 200, 1500, 1
3, acs, 1, 0.2, 8.91, 0.99, 39, 44, 0.4, 0, 200, 1500, 1
1, eas, 2, 2.99, 1.61, 0.49, 41, 25, 2, 0, 200, 624, 1
1, as, 3, 1.52, 2.27, 0.32, 49, 17, 2, 0, 200, 1500, 1
7, eas, 0, 2.6, 6.6, 0.49, 34, 100, 2, __miss__, 200, 206, 1
7, acs, 3, 3.29, 6.26, 0.98, 73, 43, 0.28, 0, 200, 1500, 1
3, ras, 1, 1.21, 7.13, 0.79, 75, 9, 2, 0, 31, 1500, 1
7, acs, 2, 3.37, 7.82, 0.45, 57, 38, 0.96, 0, 200, 1500, 1
4, eas, 0, 3.96, 7.36, 0.59, 17, 100, 2, __miss__, 200, 83, 1
5, ras, 0, 3.17, 6.74, 0.2, 45, 100, 2, __miss__, 73, 1500, 1
4, ras, 1, 2.24, 8.11, 0.85, 53, 14, 2, 1, 13, 1500, 1
2, ras, 1, 4.27, 4.96, 0.2, 31, 25, 2, 0, 71, 1500, 1
4, eas, 0, 0.71, 9.56, 0.52, 79, 100, 2, __miss__, 200, 291, 1
3, eas, 3, 2.74, 0.22, 0.97, 28, 9, 2, 1, 200, 297, 1
5, mmas, 0, 4.54, 1, 0.01, 11, 100, 2, __miss__, 200, 1500, 1
10, acs, 2, 2.6, 6.82, 0.62, 23, 43, 0.8, 0, 200, 1500, 1
4, mmas, 2, 2.26, 4.87, 0.73, 99, 15, 2, 0, 200, 1500, 1
4, eas, 1, 0.9, 6.27, 0.21, 95, 11, 2, 0, 200, 284, 1
9, acs, 3, 4.21, 7.85, 0.32, 12, 47, 0.32, 0, 200, 1500, 1
7, as, 0, 3.52, 5.85, 0.36, 43, 100, 2, __miss__, 200, 1500, 1
10, mmas, 0, 1.2, 5.64, 0.98, 19, 100, 2, __miss__, 200, 1500, 1
6, eas, 1, 1.22, 4.47, 0.6, 100, 47, 2, 0, 200, 566, 1
2, mmas, 3, 1.19, 7.07, 0.69, 83, 40, 2, 0, 200, 1500, 1
8, acs, 2, 4.75, 5.57, 0.23, 74, 26, 0.3, 0, 200, 1500, 1
2, mmas, 3, 0.26, 0.75, 0.07, 93, 28, 2, 1, 200, 1500, 1
3, mmas, 3, 0.16, 6.63, 0.9, 87, 37, 2, 1, 200, 1500, 1
2, ras, 3, 3.97, 7, 0.55, 86, 18, 2, 0, 66, 1500, 1
5, as, 0, 1.2, 5.91, 0.38, 64, 100, 2, __miss__, 200, 1500, 1
10, as, 1, 1.75, 1.25, 0.03, 6, 32, 2, 0, 200, 1500, 1
10, eas, 3, 3.18, 4.77, 0.7, 48, 27, 2, 1, 200, 683, 1
2, ras, 0, 3.51, 2.52, 0.06, 63, 100, 2, __miss__, 47, 1500, 1
10, mmas, 0, 0.77, 2.69, 0.27, 25, 100, 2, __miss__, 200, 1500, 1
4, ras, 0, 1.41, 2.52, 0.47, 9, 100, 2, __miss__, 53, 1500, 1
10, eas, 1, 0, 8.02, 0.91, 18, 50, 2, 0, 200, 112, 1
1, as, 1, 0.92, 8.07, 0.97, 72, 21, 2, 0, 200, 1500, 1
4, acs, 3, 2.71, 2.29, 0.11, 55, 29, 0.53, 0, 200, 1500, 1
3, mmas, 2, 3.82, 2.29, 0.65, 86, 22, 2, 1, 200, 1500, 1
9, acs, 3, 3.83, 8.07, 0.46, 85, 36, 0.89, 1, 200, 1500, 1
7, as, 0, 0.19, 6.82, 0.12, 62, 100, 2, __miss__, 200, 1500, 1
8, mmas, 3, 1.66, 3.29, 0.93, 54, 22, 2, 0, 200, 1500, 1
8, ras, 3, 1.66, 6, 0.33, 89, 15, 2, 0, 24, 1500, 1
5, acs, 0, 4.26, 1.81, 0.3, 52, 100, 0.81, __miss__, 200, 1500, 1
4, mmas, 0, 4.41, 9.25, 0.54, 30, 100, 2, __miss__, 200, 1500, 1
4, ras, 1, 1.11, 9.92, 0.57, 88, 16, 2, 0, 67, 1500, 1
9, mmas, 3, 3.36, 6.44, 0.9, 99, 35, 2, 1, 200, 1500, 1
4, ras, 3, 0.68, 9.69, 0.01, 5, 16, 2, 1, 65, 1500, 1
1, ras, 3, 2.87, 3.65, 0.51, 38, 16, 2, 1, 98, 1500, 1
3, ras, 2, 0.37, 7.01, 0.43, 96, 33, 2, 1, 25, 1500, 1
8, acs, 2, 3.61, 7.7, 0.66, 93, 18, 0.36, 0, 200, 1500, 1
4, as, 2, 4.46, 3.45, 0.33, 97, 19, 2, 0, 200, 1500, 1
7, mmas, 2, 4.81, 2.27, 0.28, 88, 15, 2, 0, 200, 1500, 1
7, eas, 2, 4.96, 9.24, 0.06, 9, 35, 2, 1, 200, 392, 1
8, eas, 1, 3.67, 2.92, 0.06, 16, 22, 2, 1, 200, 132, 1
4, ras, 2, 2.15, 9, 0.66, 24, 25, 2, 0, 47, 1500, 1
6, ras, 1, 0.49, 4.03, 0.18, 45, 41, 2, 0, 77, 1500, 1
8, as, 2, 2.15, 6.78, 0.33, 37, 48, 2, 0, 200, 1500, 1
3, eas, 1, 0.99, 4.55, 0.68, 57, 25, 2, 0, 200, 301, 1
10, ras, 0, 1.54, 2.97, 0.16, 60, 100, 2, __miss__, 10, 1500, 1
8, ras, 2, 4, 2.46, 0.69, 48, 11, 2, 0, 6, 1500, 1
4, as, 0, 1.95, 5.55, 0.94, 87, 100, 2, __miss__, 200, 1500, 1
3, eas, 3, 3.01, 7.2, 0.32, 97, 34, 2, 0, 200, 342, 1
3, ras, 0, 2.43, 6.92, 0.3, 68, 100, 2, __miss__, 84, 1500, 1
8, ras, 0, 2.22, 5.08, 0.67, 23, 100, 2, __miss__, 57, 1500, 1
5, mmas, 3, 4.69, 7.5, 0.26, 99, 29, 2, 0, 200, 1500, 1
10, mmas, 2, 3.63, 6.4, 0.76, 100, 41, 2, 0, 200, 1500, 1
7, eas, 1, 1.38, 2.3, 0.61, 34, 17, 2, 0, 200, 255, 1
2, acs, 3, 0.66, 6.51, 0.93, 83, 27, 0.61, 0, 200, 1500, 1
1, acs, 2, 0.53, 0.19, 0.21, 23, 13, 0.66, 1, 200, 1500, 1
5, acs, 2, 1.17, 1.6, 1, 92, 30, 0.1, 1, 200, 1500, 1
8, mmas, 3, 4.4, 4.1, 0.63, 6, 22, 2, 0, 200, 1500, 1
2, mmas, 3, 0.77, 9.29, 0.27, 91, 8, 2, 1, 200, 1500, 1
2, mmas, 3, 2.65, 0.68, 0.32, 59, 20, 2, 0, 200, 1500, 1
10, acs, 3, 3.45, 1.87, 0.17, 67, 44, 0.5, 0, 200, 1500, 1
7, acs, 3, 4.63, 9.49, 0.41, 100, 39, 0.57, 0, 200, 1500, 1
3, as, 3, 3.95, 6.82, 0.47, 59, 11, 2, 0, 200, 1500, 1
4, as, 3, 0.85, 2.49, 1, 48, 29, 2, 0, 200, 1500, 1
6, as, 3, 4.36, 3.26, 0.45, 77, 19, 2, 0, 200, 1500, 1
3, eas, 0, 4.67, 2.86, 0.7, 52, 100, 2, __miss__, 200, 41, 1
10, mmas, 1, 1.03, 8.15, 0.43, 12, 12, 2, 1, 200, 1500, 1
7, eas, 2, 1.77, 0.18, 0.66, 57, 17, 2, 0, 200, 317, 1
3, as, 1, 4.86, 2.83, 0.54, 17, 6, 2, 1, 200, 1500, 1
5, eas, 2, 3.54, 7.89, 0.53, 37, 27, 2, 1, 200, 128, 1
2, ras, 3, 1.97, 4.23, 0.5, 41, 29, 2, 1, 94, 1500, 1
1, eas, 1, 4.45, 6.43, 0.7, 74, 10, 2, 1, 200, 78, 1
2, eas, 0, 2.44, 6.03, 0.81, 84, 100, 2, __miss__, 200, 414, 1
3, acs, 3, 2.41, 8.21, 0.02, 96, 41, 0.24, 1, 200, 1500, 1
9, ras, 2, 4.04, 1.94, 0.16, 84, 22, 2, 1, 91, 1500, 1
3, eas, 3, 1.03, 8.29, 0.93, 76, 26, 2, 0, 200, 245, 1
1, mmas, 0, 2.12, 6.41, 0.52, 57, 100, 2, __miss__, 200, 1500, 1
10, mmas, 3, 3.28, 1.66, 0.5, 18, 32, 2, 1, 200, 1500, 1
7, as, 0, 0.98, 8.01, 0.09, 35, 100, 2, __miss__, 200, 1500, 1
1, mmas, 3, 4.11, 7.45, 0.9, 12, 21, 2, 0, 200, 1500, 1
7, mmas, 3, 3.97, 9.54, 0.97, 41, 9, 2, 0, 200, 1500, 1
2, ras, 1, 2.73, 8.97, 0.2, 45, 20, 2, 0, 93, 1500, 1
4, acs, 2, 2.56, 2.35, 0.94, 65, 35, 0.45, 0, 200, 1500, 1
4, as, 1, 4.36, 4.91, 0.36, 9, 24, 2, 1, 200, 1500, 1
7, as, 3, 3.34, 9.11, 0.74, 64, 31, 2, 0, 200, 1500, 1
4, eas, 3, 1.97, 3.03, 0.66, 24, 23, 2, 1, 200, 651, 1
8, acs, 1, 3.81, 3.72, 0.53, 21, 8, 0.05, 0, 200, 1500, 1
6, mmas, 3, 1.94, 4.99, 0.24, 14, 33, 2, 1, 200, 1500, 1
1, mmas, 1, 2.58, 0.15, 0.42, 28, 39, 2, 0, 200, 1500, 1
7, mmas, 2, 4.83, 0.86, 0.15, 94, 20, 2, 1, 200, 1500, 1
2, ras, 3, 2.47, 6.99, 0.3, 88, 35, 2, 1, 3, 1500, 1
3, eas, 3, 3.19, 4.67, 0.42, 61, 10, 2, 1, 200, 590, 1
3, mmas, 2, 3.16, 6.14, 0.83, 29, 8, 2, 0, 200, 1500, 1
9, ras, 3, 3.78, 4.53, 0.6, 25, 7, 2, 0, 70, 1500, 1
10, mmas, 2, 4.43, 7.25, 0.82, 94, 37, 2, 0, 200, 1500, 1
6, as, 2, 1.88, 3.04, 0.75, 13, 6, 2, 1, 200, 1500, 1
10, eas, 0, 2.72, 9.28, 0.47, 74, 100, 2, __miss__, 200, 709, 1
9, eas, 2, 1.51, 3.35, 0.74, 42, 28, 2, 1, 200, 313, 1
2, ras, 2, 2.56, 6.35, 0.35, 42, 17, 2, 1, 61, 1500, 1
9, ras, 3, 2.08, 7.38, 0.08, 79, 9, 2, 1, 48, 1500, 1
10, mmas, 3, 1, 5, 0.25, 98, 12, 2, 0, 200, 1500, 1
2, mmas, 2, 3.23, 3.28, 0.64, 68, 31, 2, 0, 200, 1500, 1
10, ras, 2, 2.43, 1.46, 0.54, 25, 33, 2, 1, 15, 1500, 1
8, mmas, 3, 4.86, 4.81, 0.62, 72, 31, 2, 1, 200, 1500, 1
8, ras, 0, 3.35, 4.63, 0.78, 70, 100, 2, __miss__, 46, 1500, 1
4, mmas, 1, 4.29, 9.88, 0.43, 73, 26, 2, 1, 200, 1500, 1
6, ras, 1, 1.65, 1.14, 0.07, 88, 11, 2, 1, 89, 1500, 1
5, acs, 2, 2.49, 4.69, 0.55, 59, 19, 0.25, 1, 200, 1500, 1
10, mmas, 0, 2.8, 7.66, 0.26, 67, 100, 2, __miss__, 200, 1500, 1
7, eas, 3, 1.36, 7.7, 0.47, 48, 23, 2, 1, 200, 43, 1
4, eas, 3, 0.67, 8.58, 0.07, 41, 19, 2, 0, 200, 40, 1
3, as, 2, 2.81, 7.92, 0.58, 91, 40, 2, 1, 200, 1500, 1
7, mmas, 2, 3.88, 5.47, 0.27, 87, 29, 2, 1, 200, 1500, 1
10, mmas, 3, 4.2, 3.77, 0.26, 37, 25, 2, 1, 200, 1500, 1
6, mmas, 1, 4.46, 1.39, 0.88, 62, 7, 2, 1, 200, 1500, 1
2, eas, 0, 3.83, 6.56, 0.68, 65, 100, 2, __miss__, 200, 258, 1
5, as, 3, 4.77, 0.62, 0.47, 58, 8, 2, 1, 200, 1500, 1
5, acs, 0, 2.52, 7.25, 0.98, 83, 100, 0.32, __miss__, 200, 1500, 1
2, eas, 1, 3.28, 8.25, 0.63, 91, 18, 2, 0, 200, 683, 1
8, mmas, 0, 2.02, 9.45, 0.52, 36, 100, 2, __miss__, 200, 1500, 1
9, mmas, 3, 1.85, 5.95, 0.69, 84, 28, 2, 1, 200, 1500, 1
2, eas, 3, 4.95, 5.47, 0.11, 91, 48, 2, 1, 200, 690, 1
10, acs, 1, 4.63, 1.95, 0.91, 26, 35, 0.32, 1, 200, 1500, 1
7, ras, 1, 3.01, 8.17, 0.15, 85, 6, 2, 1, 47, 1500, 1
7, mmas, 0, 1.03, 0.07, 0.1, 87, 100, 2, __miss__, 200, 1500, 1
3, as, 0, 2.48, 1.56, 0.75, 50, 100, 2, __miss__, 200, 1500, 1
5, eas, 3, 1.65, 7.1, 0.81, 52, 50, 2, 1, 200, 529, 1
10, as, 0, 2.23, 0.33, 0.95, 48, 100, 2, __miss__, 200, 1500, 1
8, acs, 0, 2.28, 6.14, 0.75, 91, 100, 0.48, __miss__, 200, 1500, 1
4, mmas, 2, 4.93, 8.65, 0.75, 66, 24, 2, 1, 200, 1500, 1
6, eas, 3, 2.25, 8.92, 0.53, 48, 19, 2, 1, 200, 341, 1
5, mmas, 2, 1.8, 9.91, 0.35, 64, 31, 2, 0, 200, 1500, 1
2, acs, 2, 1.68, 6.59, 0.86, 54, 29, 0.14, 0, 200, 1500, 1
5, mmas, 3, 3.41, 3.31, 0.7, 90, 7, 2, 1, 200, 1500, 1
7, acs, 1, 4.48, 6.92, 0.27, 52, 11, 0.61, 0, 200, 1500, 1
3, as, 1, 4.72, 4.48, 0.48, 81, 19, 2, 1, 200, 1500, 1
3, eas, 3, 3.05, 3.1, 0.29, 65, 18, 2, 1, 200, 186, 1
5, as, 0, 1.57, 0.79, 0.71, 91, 100, 2, __miss__, 200, 1500, 1
1, acs, 3, 4.01, 5.45, 0.18, 85, 28, 0.86, 0, 200, 1500, 1
3, mmas, 1, 2.55, 7.72, 0.54, 80, 28, 2, 1, 200, 1500, 1
3, as, 0, 3.46, 5.27, 0.49, 95, 100, 2, __miss__, 200, 1500, 1
4, mmas, 0, 2.54, 9.54, 0.33, 70, 100, 2, __miss__, 200, 1500, 1
3, as, 0, 2.2, 9.39, 0.6, 87, 100, 2, __miss__, 200, 1500, 1
1, ras, 2, 1.93, 5.71, 0.79, 74, 39, 2, 0, 72, 1500, 1
3, mmas, 3, 1.82, 1.47, 0.39, 20, 29, 2, 1, 200, 1500, 1
9, ras, 3, 2.06, 7.12, 0.54, 53, 7, 2, 0, 99, 1500, 1
8, mmas, 2, 4.5, 3.38, 0.67, 67, 17, 2, 1, 200, 1500, 1
2, mmas, 3, 4.74, 8.69, 0.38, 100, 11, 2, 1, 200, 1500, 1
4, mmas, 3, 1.83, 6.12, 0.67, 99, 33, 2, 1, 200, 1500, 1
7, ras, 2, 3.32, 1.77, 0.22, 55, 9, 2, 1, 67, 1500, 1
6, mmas, 1, 2.66, 6.82, 0.24, 79, 10, 2, 0, 200, 1500, 1
1, acs, 3, 3.28, 8.31, 0.8, 53, 33, 0.1, 1, 200, 1500, 1
4, eas, 3, 4.95, 1.93, 0.52, 71, 10, 2, 0, 200, 347, 1
2, eas, 2, 3.42, 4.06, 0.47, 80, 40, 2, 0, 200, 135, 1
4, acs, 0, 4.53, 9.39, 0.22, 43, 100, 0.55, __miss__, 200, 1500, 1
8, as, 1, 1.16, 7.54, 0.59, 53, 15, 2, 0, 200, 1500, 1
7, acs, 2, 3.34, 7.97, 0.38, 46, 21, 0.97, 0, 200, 1500, 1
3, eas, 3, 4.7, 4.59, 0.39, 58, 5, 2, 0, 200, 469, 1
4, mmas, 3, 3.47, 6.66, 0.51, 84, 37, 2, 1, 200, 1500, 1
1, mmas, 2, 3.74, 4.12, 0.17, 30, 13, 2, 1, 200, 1500, 1
7, mmas, 2, 3.08, 0.74, 0.68, 40, 36, 2, 1, 200, 1500, 1
2, as, 1, 2.35, 3.05, 0.92, 67, 17, 2, 1, 200, 1500, 1
10, as, 1, 4.28, 7.47, 0.07, 68, 15, 2, 1, 200, 1500, 1
1, ras, 3, 3.39, 6.65, 0.14, 99, 29, 2, 1, 35, 1500, 1
8, mmas, 1, 2.92, 4.15, 0.31, 59, 9, 2, 1, 200, 1500, 1
3, as, 1, 4.7, 7.04, 0.53, 56, 10, 2, 1, 200, 1500, 1
1, mmas, 3, 4.38, 7.21, 0.52, 51, 17, 2, 1, 200, 1500, 1
2, ras, 1, 1.73, 5.75, 1, 36, 21, 2, 1, 98, 1500, 1
5, as, 0, 2.41, 0.42, 0.41, 52, 100, 2, __miss__, 200, 1500, 1
7, acs, 3, 3.27, 5.2, 0.99, 18, 15, 0.21, 1, 200, 1500, 1
3, ras, 3, 4.69, 7.17, 0.44, 60, 22, 2, 1, 43, 1500, 1
5, as, 1, 1.98, 5.39, 0.88, 27, 10, 2, 1, 200, 1500, 1
6, acs, 1, 4.44, 5.29, 0.6, 38, 41, 0.43, 1, 200, 1500, 1
7, mmas, 3, 3.5, 5.29, 0.41, 86, 13, 2, 1, 200, 1500, 1
7, acs, 3, 4.72, 6.6, 0.52, 82, 41, 0.64, 0, 200, 1500, 1
4, mmas, 1, 4.77, 7.99, 0.44, 69, 10, 2, 0, 200, 1500, 1
5, mmas, 0, 3.91, 8.65, 0.4, 96, 100, 2, __miss__, 200, 1500, 1
9, as, 3, 3.32, 1.22, 0.66, 11, 13, 2, 1, 200, 1500, 1
5, as, 2, 4.4, 5.53, 0.25, 49, 26, 2, 0, 200, 1500, 1
2, ras, 2, 4.28, 4.91, 0.15, 71, 29, 2, 0, 40, 1500, 1
2, acs, 0, 2.95, 7.23, 0.8, 24, 100, 0.06, __miss__, 200, 1500, 1
2, eas, 1, 3.38, 5.98, 0.32, 89, 9, 2, 1, 200, 459, 1
7, mmas, 1, 1.21, 5.49, 0.51, 82, 30, 2, 1, 200, 1500, 1
3, as, 2, 3.3, 8.71, 0.51, 25, 42, 2, 0, 200, 1500, 1
4, acs, 1, 1.51, 7.56, 0.49, 62, 24, 0.21, 1, 200, 1500, 1
2, ras, 1, 3.87, 3.56, 0.38, 37, 35, 2, 1, 20, 1500, 1
9, as, 3, 3.19, 5.7, 0.84, 65, 10, 2, 1, 200, 1500, 1
4, eas, 1, 4.1, 4.87, 0.54, 80, 20, 2, 0, 200, 53, 1
6, as, 0, 4.35, 8.81, 0.27, 64, 100, 2, __miss__, 200, 1500, 1
5, acs, 1, 0.97, 2.06, 0.77, 11, 12, 0.27, 1, 200, 1500, 1
4, mmas, 3, 3.12, 8.49, 0.6, 27, 21, 2, 0, 200, 1500, 1
9, acs, 0, 4.78, 1.32, 0.69, 26, 100, 0.59, __miss__, 200, 1500, 1
5, eas, 3, 4.25, 5.92, 0.17, 87, 8, 2, 0, 200, 175, 1
3, eas, 3, 1.19, 8.98, 0.98, 34, 14, 2, 0, 200, 729, 1
6, mmas, 2, 0.87, 8.07, 0.48, 74, 23, 2, 1, 200, 1500, 1
2, acs, 1, 1.3, 3.33, 0.48, 75, 15, 0.36, 1, 200, 1500, 1
9, as, 3, 3.45, 7.43, 0.22, 60, 5, 2, 1, 200, 1500, 1
3, mmas, 2, 3.65, 8.7, 0.21, 72, 19, 2, 1, 200, 1500, 1
7, mmas, 0, 1.89, 2.91, 0.84, 77, 100, 2, __miss__, 200, 1500, 1
1, ras, 3, 4.3, 8.98, 0.51, 100, 42, 2, 0, 13, 1500, 1
8, mmas, 2, 2.11, 3.49, 0.23, 69, 13, 2, 1, 200, 1500, 1
4, mmas, 3, 2.82, 9.44, 0.36, 22, 22, 2, 1, 200, 1500, 1
10, mmas, 3, 2.16, 6.64, 0.71, 40, 19, 2, 1, 200, 1500, 1
7, mmas, 3, 2.36, 5.33, 0.59, 7, 17, 2, 0, 200, 1500, 1
6, ras, 0, 4.73, 3.29, 0.2, 86, 100, 2, __miss__, 34, 1500, 1
4, eas, 3, 4.3, 9.56, 0.74, 47, 42, 2, 1, 200, 601, 1
3, eas, 3, 2.51, 7.94, 0.41, 79, 8, 2, 1, 200, 34, 1
9, ras, 1, 2.83, 6.33, 0.89, 5, 10, 2, 1, 91, 1500, 1
2, mmas, 2, 2.04, 4.57, 0.96, 28, 24, 2, 1, 200, 1500, 1
6, acs, 3, 1.41, 5.21, 0.71, 70, 16, 0.1, 0, 200, 1500, 1
1, ras, 0, 1.95, 6.17, 0.57, 45, 100, 2, __miss__, 96, 1500, 1
1, mmas, 0, 0.78, 3.38, 0.01, 69, 100, 2, __miss__, 200, 1500, 1
7, acs, 3, 2.28, 5.02, 0.94, 29, 22, 0.17, 1, 200, 1500, 1
6, mmas, 3, 4.3, 7.26, 0.99, 49, 24, 2, 1, 200, 1500, 1
8, mmas, 0, 2.94, 4.33, 0.21, 60, 100, 2, __miss__, 200, 1500, 1
3, ras, 0, 3.45, 2.24, 0.69, 29, 100, 2, __miss__, 50, 1500, 1
3, acs, 3, 2.58, 5.97, 0.71, 80, 14, 0.92, 1, 200, 1500, 1
2, as, 2, 2.99, 9.05, 0.94, 79, 9, 2, 1, 200, 1500, 1
10, acs, 0, 2, 6.91, 0.14, 71, 100, 0.53, __miss__, 200, 1500, 1
6, acs, 2, 2.75, 4.15, 0.77, 98, 35, 0.78, 1, 200, 1500, 1
10, as, 3, 2.95, 9.47, 0.87, 94, 16, 2, 0, 200, 1500, 1
7, eas, 3, 0.99, 2.45, 0.46, 72, 36, 2, 0, 200, 661, 1
5, as, 0, 3.78, 1.99, 0.99, 48, 100, 2, __miss__, 200, 1500, 1
8, as, 3, 3.44, 5.45, 0.2, 72, 19, 2, 1, 200, 1500, 1
7, mmas, 1, 3.48, 8.82, 0.2, 82, 9, 2, 1, 200, 1500, 1
3, mmas, 1, 4.18, 8.61, 0.8, 46, 9, 2, 0, 200, 1500, 1
2, as, 3, 0.86, 3.39, 0.92, 62, 17, 2, 1, 200, 1500, 1
3, mmas, 2, 3.64, 7.08, 0.1, 29, 14, 2, 1, 200, 1500, 1
